涎	jin4
涕	tai3
涮	saan3
涯	ngaai4
液	jik6
涴	wo3
涼	loeng4
涿	doek3
淆	ngaau4
淋	lam4
淑	suk6
淘	tu4
淚	lui6
淡	taam5
淤	jyu1
淨	zing6
淩	ling4
淪	lan4
淫	jam4
淮	waai4
深	sam1
淵	jyun1
混	wan6
淹	jim1
淺	cin2
添	tim1
清	cing1
減	gem2
渠	kyu4
渡	du6
渣	zaa1
温	wan1
測	cak1
港	gong2
渴	hot3
游	jau4
渺	miu5
渾	wan4
湊	cau3
湖	wu4
湘	sloeng1
湧	jung2
湯	tong1
溉	koi3
源	jyun4
